               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.029008,            0.034715,            0.027784,             0.80079,             0.63588,              0.7202,             0.45068,            0.034224,            0.029189,            0.026942,             0.00208,             0.00208,             0.00208
                  82,            0.029358,            0.034983,            0.028381,              0.7971,             0.63559,             0.72157,             0.45733,            0.033806,            0.029209,             0.02793,            0.001981,            0.001981,            0.001981
                  83,             0.02894,            0.035631,            0.027295,              0.7988,             0.62889,             0.71296,             0.44278,             0.03451,            0.029501,            0.028166,            0.001882,            0.001882,            0.001882
                  84,            0.028782,            0.035772,            0.027035,             0.81101,             0.64268,             0.72533,             0.44922,            0.034143,            0.029584,            0.027017,            0.001783,            0.001783,            0.001783
                  85,            0.028139,            0.034568,            0.026442,             0.79555,             0.62782,             0.71564,             0.46131,            0.033314,            0.029397,             0.02649,            0.001684,            0.001684,            0.001684
                  86,            0.028236,            0.036175,            0.026697,             0.72566,             0.69359,             0.73389,             0.47222,            0.033345,            0.029413,            0.026264,            0.001585,            0.001585,            0.001585
                  87,            0.027689,              0.0357,            0.025831,             0.79587,             0.64878,             0.72922,             0.46408,             0.03342,            0.029435,             0.02704,            0.001486,            0.001486,            0.001486
                  88,            0.027643,            0.035089,            0.024919,             0.80661,             0.64067,             0.72481,              0.4519,            0.033751,            0.029458,            0.026765,            0.001387,            0.001387,            0.001387
                  89,            0.028097,            0.035783,            0.025745,             0.81677,             0.65023,             0.73191,              0.4631,            0.033501,             0.02913,            0.026231,            0.001288,            0.001288,            0.001288
                  90,            0.027164,            0.035762,            0.024119,             0.81193,             0.63236,              0.7268,             0.46431,            0.033405,            0.029599,            0.025637,            0.001189,            0.001189,            0.001189
                  91,            0.027379,            0.036498,            0.025235,             0.82168,             0.63597,             0.73218,             0.47139,            0.033242,            0.029578,            0.026337,             0.00109,             0.00109,             0.00109
                  92,             0.02727,            0.035886,            0.025053,             0.82444,             0.63319,             0.73406,             0.46215,            0.033426,            0.029754,             0.02561,            0.000991,            0.000991,            0.000991
                  93,            0.026749,             0.03456,            0.025384,              0.8204,             0.63193,             0.73448,             0.46531,            0.033319,            0.029518,            0.025038,            0.000892,            0.000892,            0.000892
                  94,            0.026518,            0.035286,            0.024658,              0.8168,              0.6363,             0.73743,             0.47212,            0.033249,            0.029472,            0.025778,            0.000793,            0.000793,            0.000793
                  95,            0.026729,            0.034953,             0.02424,             0.81308,             0.64221,             0.73507,             0.46808,            0.033177,            0.029726,            0.024842,            0.000694,            0.000694,            0.000694
                  96,            0.026029,            0.033928,            0.024067,             0.81158,             0.66605,             0.74383,             0.47368,            0.033204,            0.029455,            0.024897,            0.000595,            0.000595,            0.000595
                  97,            0.025859,            0.034822,            0.023387,             0.82367,             0.64678,             0.73533,             0.46451,            0.033233,            0.029683,            0.024928,            0.000496,            0.000496,            0.000496
                  98,            0.025776,            0.034234,            0.023358,             0.83224,             0.64529,             0.73632,             0.47302,            0.032961,            0.029823,            0.025172,            0.000397,            0.000397,            0.000397
                  99,             0.02618,            0.035948,              0.0238,             0.82667,             0.64407,             0.73604,             0.46997,            0.033066,            0.029894,            0.025087,            0.000298,            0.000298,            0.000298
